Test,Precision,Recall,F1-score,Accuracy
0,0.73,0.64,0.67,0.638
1,0.75,0.65,0.68,0.651
2,0.76,0.65,0.69,0.653
3,0.76,0.65,0.68,0.645
4,0.72,0.7,0.71,0.702
5,0.73,0.64,0.67,0.638
6,0.76,0.65,0.69,0.653
7,0.72,0.73,0.72,0.729
8,0.7,0.54,0.59,0.541
9,0.76,0.65,0.68,0.645
10,0.76,0.65,0.68,0.651
11,0.76,0.65,0.68,0.645
12,0.72,0.71,0.72,0.712
13,0.75,0.64,0.68,0.643
14,0.74,0.66,0.68,0.655
15,0.64,0.8,0.71,0.797
16,0.71,0.51,0.56,0.512
17,0.73,0.63,0.66,0.626
18,0.76,0.66,0.69,0.658
19,0.76,0.65,0.68,0.65
