Test,Weighted Precision,Weighted Recall,Weighted F1-score,Accuracy
1,0.71,0.79,0.72,0.792
2,0.7,0.79,0.71,0.794
3,0.76,0.65,0.68,0.6475
4,0.71,0.79,0.72,0.7935
5,0.75,0.65,0.68,0.6465
6,0.7,0.79,0.71,0.7915
7,0.75,0.65,0.68,0.6455
8,0.73,0.8,0.71,0.7965
9,0.75,0.65,0.68,0.6455
10,0.69,0.74,0.71,0.7445
11,0.7,0.69,0.7,0.6945
12,0.71,0.79,0.71,0.649
13,0.75,0.64,0.67,0.641
14,0.73,0.8,0.72,0.795
15,0.75,0.67,0.69,0.6665
16,0.71,0.79,0.71,0.792
17,0.76,0.63,0.67,0.6305
18,0.71,0.79,0.71,0.792
19,0.75,0.64,0.68,0.6415
20,0.71,0.77,0.73,0.771
